_id,singkat,hasil
2286,ngawe,membuat
2287,ngawur,ngasal
2288,ngawur2an,ngasal-asalan
2289,ngayal,mengkhayal
2290,ngayalnye,mengkhayalnya
2291,ngbikin,membuat
2292,ngbom,mengebom
2293,ngbrol,mengobrol
2294,ngbuka,membuka
2295,ngdate,berkencan
2296,ngebalikin,mengembalikan
2297,ngebalikinnya,mengembalikannya
2298,ngebalikinya,mengembalikannya
2299,ngeband,main band
2300,ngebangain,membanggakan
2301,ngebanggain,membanggakan
2302,ngebangun,membangun
2303,ngebantai,membantai
2304,ngebanyol,membanyol
2305,ngebawa,membawa
2306,ngebayangin,membayangkan
2307,ngebayanginnya,membayangkannya
2308,ngebayanginya,membayangkannya
2309,ngebel,menelpon
2310,ngebelin,membelikan
2311,ngebilangin,memberitau
2312,ngeblokir,memblokir
2313,ngebo,tidur
2314,Ngebolang,berpetualang
2315,ngebolehin,membolehkan
2316,ngebom,mengebom
2317,ngebor,mengebor
2318,ngebosenin,membosankan
2319,ngebunuh,membunuh
2320,ngebut,mengebut
2321,ngebut2,kebut-kebutan
2322,ngebutz,mengebut
2323,ngebutzzz,mengebut
2324,ngecapin,mengecapi
2325,ngece,mengejek
2326,ngecek,mengecek
2327,ngeces,mengecas
2328,ngecet,mengecat
2329,ngeclub,membuat klub
2330,ngedadak,mendadak
2331,ngedarin,mengedarkan
2332,ngedate,berkencan
2333,ngedeke,membangun
2334,ngedekke,membangun
2335,ngedengkur,mendengkur
2336,ngedit,mengedit
2337,ngedit2,mengedit-edit
2338,ngedoain,mendoakan
2339,ngedor,menembak
2340,ngedp,membayar uang muka
2341,ngedufan,pergi ke dufan
2342,ngedukung,mendukung
2343,ngefolow,ngefollow
2344,ngegolin,mencetak gol
2345,ngehalau,menghalau
2346,ngehargai,menghargai
2347,ngehibur,menghibur
2348,ngehina,menghina
2349,ngehormatin,menghormati
2350,ngejagain,menjagakan
2351,ngejak,mengajak
2352,ngejalanin,menjalani
2353,ngejamin,menjamin
2354,ngejanjin,menjanjikan
2355,ngejar,mengejar
2356,ngejarnya,mengejarnya
2357,ngejek,mengejek
2358,ngejiplak,menjiplak
2359,Ngejual,menjual
2360,ngejubel,berjubel
2361,ngekek,tertawa
2362,ngeksis2an,eksis-eksisan
2363,ngeladenin,meladeni
2364,ngeladeninya,meladeninya
2365,ngelahirin,melahirkan
2366,ngelak,mengelak
2367,ngelaksonin,menglakson
2368,ngelamar,melamar
2369,ngelamun,melamun
2370,ngelanconk,melancong
2371,ngelantik,melantik
2372,ngelantur,melantur
2373,ngelap,mengelap
2374,ngelapak,berjualan
2375,ngelatihnya,melatihnya
2376,ngelawak,melucu
2377,ngeledek,mengejek
2378,ngelelepin,menenggelamkan
2379,ngelepas,melepas
2380,ngeles,membuat alasan
2381,ngelesnya,membuat alasannya
2382,ngelewatin,melewati
2383,ngeliat,melihat
2384,ngeliate,melihat
2385,ngeliatin,memperlihatkan
2386,ngeliatnya,melihatnya
2387,ngelilingin,mengelilingi
2388,ngeliput,meliput
2389,ngelirik,melirik
2390,ngelitik,menggelitik
2391,ngelive,disiarkan langsung
2392,ngelu,pusing
2393,ngeluapin,meluapkan
2394,ngeluarin,mengeluarkan
2395,ngeluarinya,mengeluarkannya
2396,ngelucu,melucu
2397,ngeluh,mengeluh
2398,ngelukis,melukis
2399,ngelupain,melupakan
2400,ngelus,mengelus
2401,ngembalin,mengembalikan
2402,ngembang,mengembang
2403,ngembun,mengembun
2404,ngemeng,ngomong
2405,ngemeng2,ngomong-ngomong
2406,ngemis2,mengemis-ngemis
2407,ngemodus,membuat modus
2408,ngemot,mengemut
2409,ngena,mengena
2410,ngenalin,mengenalkan
2411,ngendap,mengendap
2412,ngene,begini
2413,ngeneh,begini
2414,ngenes,mengenaskan
2415,ngenet,internetan
2416,ngepain,ngapain
2417,ngepel,mengepel
2418,ngepelin,mengepelkan
2419,ngerakit,merakit
2420,ngeramal,meramal
2421,ngeramein,meramaikan
2422,ngerampok,merampok
2423,ngerasa,merasa
2424,ngerasain,merasakan
2425,ngerayain,merayakan
2426,ngerayainnya,merayakannya
2427,ngerayainya,merayakannya
2428,ngerayu,merayu
2429,ngeremehin,meremehkan
2430,ngerencanain,merencanakan
2431,ngerepotin,merepotkan
2432,ngeres2,berpikiran kotor
2433,ngeributin,meributkan
2434,ngerintis,merintis
2435,Ngeriset,melakukan riset
2436,ngerix,ngerinya
2437,ngerjain,mengerjakan
2438,ngerokok,merokok
2439,ngertine,yang dimengerti
2440,ngertio,ngertikan
2441,ngerubah,mengubah
2442,ngerugiin,merugikan
2443,ngerugin,merugikan
2444,ngerusak,merusak
2445,ngerusakin,merusakkan
2446,ngetem,nongkrong
2447,ngetuit,ngetweet
2448,ngetwet,ngetweet
2449,ngetwets,ngetweet
2450,ngetwit,ngetweet
2451,ngetwitnya,ngetweetnya
2452,ngfollow,follow
2453,ngfolow,follow
2454,ngg,tidak
2455,ngga,tidak
2456,nggak,tidak
2457,nggakk,tidak
2458,nggakpapa,tidak apa-apa
2459,nggakyk,tidak seperti
2460,nggandeng,menggandeng
2461,ngganjel,mengganjal
2462,ngganteng,ganteng
2463,nggarap,mengerjakan
2464,nggash,memberi
2465,nggawa,membawa
2466,nggawe,membuat
2467,nggih,iya
2468,nggk,tidak
2469,nggo,untuk
2470,nggon,tempat
2471,nggonku,tempatku
2472,nggowes,bersepeda
2473,nggowo,membawa
2474,nggowo2,membawa
2475,nggu,nunggu
2476,nggundulinnya,menggundulinya
2477,ngguyu,tertawa
2478,nggy,gaya
2479,nghirup,menghirup
2480,ngibul,berkhayal
2481,ngidem,ngikut
2482,ngiderin,mengedarkan
2483,ngigau,mengigau
2484,ngih,iya
2485,ngijinin,mengizinkan
2486,ngikutin,mengikuti
2487,ngilang,menghilang
2488,ngilangin,menghilangkan
2489,ngimpi,mimpi
2490,ngimpih,mimpi
2491,ngimpiku,mimpiku
2492,ngincer,mengincar
2493,ngindarin,menghindari
2494,nginep,menginap
2495,nginepnya,menginapnya
2496,ngingetin,mengingatkan
2497,nginjek,menginjak
2498,ngintil,mengikuti
2499,ngintip,mengintip
2500,ngira,mengira
2501,ngiranya,mengiranya
2502,ngirim,mengirim
2503,ngiris,mengiris
2504,ngirup,menghirup
2505,ngis,nangis
2506,ngisi,mengisi
2507,ngiterin,mengitari
2508,ngitung,menghitung
2509,ngitungin,menghitung
2510,ngjak,mengajak
2511,ngjak2,mengajak-ajak
2512,ngjakin,mengajak
2513,ngjakn,mengajak
2514,ngjar,mengajar
2515,ngjarin,mengajari
2516,ngjk,mengajak
2517,ngjkin,mengajak
2518,ngk,tidak
2519,ngke,nanti
2520,ngko,nanti
2521,ngkost,kos
2522,ngkrong,nongkrong
2523,ngku,mengaku
2524,ngkut,ngikut
2525,nglakokne,menjalankan
2526,nglamar,melamar
2527,nglelang,melelang
2528,nglewatin,melewati
2529,ngliat,melihat
2530,ngliatin,melihat
2531,nglumpuke,mengumpulkan
2532,ngmg,ngomong
2533,ngmgn,ngomongin
2534,ngmng,ngomong
2535,ngmngin,ngomongin
2536,ngmngnya,ngomongnya
2537,ngmong,ngomong
2538,ngmongin,ngomongin
2539,ngmpln,mengumpulkan
2540,ngmpul,kumpul
2541,ngmpulin,mengumpulkan
2542,ngmuk,mengamuk
2543,ngnggur,menganggur
2544,ngngkat,mengangkat
2545,ngntuk,mengantuk
2546,ngo,untuk
2547,ngobro,ngobrol
2548,ngoceh,mengoceh
2549,ngocok,mengocok
2550,ngocol,mengocol
2551,ngolek,mencari
2552,ngoleksi,mengoleksi
2553,ngomel,mengomel
2554,ngomgn,ngomongin
2555,ngomogin,ngomongin
2556,ngomong2,ngomong-ngomong
2557,ngomonge,ngomongnya
2558,ngomongin,ngomongin
2559,ngonku,tempatku
2560,ngonoh,begitu
2561,ngonthel,bersepeda
2562,ngontrak,mengontrak
2563,ngopikeun,ngopikan
2564,ngopo,ngapain
2565,ngosek,nanti
2566,ngowes,bersepeda
2567,ngowo,membawa
2568,ngowo2,membawa
2569,ngp,ngapain
2570,ngpain,ngapain
2571,ngpn,ngapain
2572,ngpo,ngapain
2573,ngra,mengira
2574,ngrakit,merakit
2575,ngrasake,merasakan
2576,ngrasakno,merasakan
2577,ngrayain,merayakan
2578,ngrebut,merebut
2579,ngrokok,merokok
2580,ngrsain,merasakan
2581,ngrti,mengerti
2582,ngrusak,merusak
2583,ngsh,ngasih
2584,ngsih,ngasih
2585,ngubah,mengubah
2586,ngubengi,mengitari
2587,ngucapin,mengucapkan
2588,nguidam,ngidam
2589,ngulang,mengulang
2590,nguliah,kuliah
2591,ngumbar,mengumbar
2592,ngumpet,bersembunyi
2593,ngunu,begitu
2594,ngupi,ngopi
2595,ngupi2,ngopi-ngopi
2596,ngurangin,mengurangi
2597,nguras,menguras
2598,ngurusin,mengurusi
2599,ngurusinya,mengurusinya
2600,ngurusinyo,mengurusinya
2601,ngusul,usul
2602,ngusulin,mengusulkan
2603,ngutang,hutang
2604,ngutangi,menghutangi
2605,nguyu,tertawa
2606,nguyuh,kencing
2607,nie,ini
2608,night,malam
2609,nipuin,menipu
2610,nisan,nissan
2611,njih,iya
2612,njupuk,mengambil
2613,nlp,menelpon
2614,nlpn,menelpon
2615,nma,nama
2616,nmanya,namanya
2617,nmax,namanya
2618,nmna,namanya
2619,nmnya,namanya
2620,nmor,nomor
2621,nmpak,tampak
2622,nmpk,tampak
2623,nmr,nomor
2624,nmrnya,nomornya
2625,nmun,namun
2626,nnggu,menunggu
2627,nngguin,tungguin
2628,nngis,nenagis
2629,nnt,nanti
2630,nnton,nonton
2631,nntonnya,nontonnya
2632,no,nomor
2633,nolak,menolak
2634,nolong,menolong
2635,nolongin,menolong
2636,nomer,nomor
2637,nomere,nomornya
2638,nontonya,nontonnya
2639,nope,nomor HP
2640,nothing,tidak ada
2641,notif,pemberitahuan
2642,notifnya,pemberitahuannya
2643,nov,november
2644,now,sekarang
2645,npa,kenapa
2646,ntar,nanti
2647,nti,nanti
2648,ntinya,nantinya
2649,ntip,nitip
2650,ntn,nonton
2651,nton,nonton
2652,ntr,nanti
2653,number,nomor
2654,numpak,naik
2655,nungu,nunggu
2656,nyampe,sampai
2657,nyelengi,menabung
2658,nyelesein,menyelesaikan
2659,nyembuhin,menyembuhkan
2660,nyempetin,menyempatkan
2661,nyenengin,menyenangkan
2662,nyengol,menyenggol
2663,nyepedah,bersepeda
2664,nyesek,bikin sesak
2665,nyesel,menyesal
2666,nynyi,menyanyi
2667,nyokap,ibu
2668,nyolong,mencuri
2669,nyopet,mencopet
2670,nyupir,menyopir
2671,nyupire,menyopir
2672,nyupiri,menyopir
2673,nyuri,mencuri
2674,og,kok
2675,oia,oh iya
2676,ole-ole,oleh-oleh
2677,ole2,oleh-oleh
2678,oleh2,oleh-oleh
2679,omaigat,Ya Tuhan
2680,omaigot,Ya Tuhan
2681,omdo,omong doang
2682,omg,Ya Tuhan
2683,ono,ada
2684,opo,apa
2685,opr,operator
2686,oprtr,operator
2687,optional,pilihan
2688,options,pilihan
2689,ora,tidak
2690,org,orang
2691,org2,orang-orang
2692,orgalay,orang alay
2693,orgil,orang gila
2694,orgnya,orangnya
2695,orgtua,orangtua
2696,ori,original
2697,orng,orang
2698,orng2,orang-orang
2699,orngny,orangnya
2700,other,lainnya
2701,others,lainnya
2702,otmatis,otomatis
2703,otw,lagi di jalan
2704,"p\baikan""",perbaikan
2705,pa2,apa-apa
2706,pabrkan,pabrikan
2707,pacal,pacar
2708,pacalku,pacarku
2709,pager,pagar
2710,pailit,pelit
2711,pakaianya,pakaiannya
2712,pake,pakai
2713,pakein,pakaikan
2714,pakek,pakai
2715,panasnye,panasnya
2716,pancen,memang
2717,pangil,panggil
2718,pangilan,panggilan
2719,pantes,pantas
2720,parent,orangtua
2721,parents,orangtua
2722,party,pesta
2723,pcar,pacar
2724,pcaran,pacaran
2725,pcarku,pacarku
2726,pcr,[acar
2727,pcran,pacaran
2728,pcrmu,pacarmu
2729,pcrn,pacaran
2730,pcrnya,pacarnya
2731,pcrx,pacarnya
2732,pda,pada
2733,pdahal,padahal
2734,pdhal,padahal
2735,pdhalkan,padahalkan
2736,pdhl,padahal
2737,peace,damai
2738,pedes,pedas
2739,pegel,pegal
2740,pegi,pergi
2741,pekerjan,pekerjaan
2742,pelangan,pelanggan
2743,pelastik,plastik
2744,pelayananya,pelayanannya
2745,pelis,*memohon
2746,pelkunya,pelakunya
2747,pemainya,pemainnya
2748,pemakaianya,pemakaiannya
2749,pembayaranya,pembayarannya
2750,pembelan,pembelaan
2751,pembelanjan,pembelanjaan
2752,pembicaran,pembicaraan
2753,pembicraan,pembicaraan
2754,pembicran,pembicaraan
2755,pemkot,pemerintah kota
2756,pemotor,pemakai motor
2757,pemprov,pemerintah provinsi
2758,pencetane,pencetannya
2759,pencinta,pecinta
2760,pencitran,pencitraan
2761,penderitan,penderitaan
2762,pendiem,pendiam
2763,pengantian,penggantian
2764,pengen,ingin
2765,pengerjan,pengerjaan
2766,pengerjanya,pengerjaannya
2767,penghargan,penghargaan
2768,pengila,penggila
2769,penginapa,penginapan
2770,penginepan,penginapan
2771,pengmuman,pengumuman
2772,penguna,pengguna
2773,pengunan,penggunaan
2774,perasan,perasaan
2775,perasanku,perasaanku
2776,perasanmu,perasaanmu
2777,perduli,peduli
2778,perjlanan,perjalanan
2779,perkiran,perkiraan
2780,perkoro,perkara
2781,perktaan,perkataan
2782,perktan,perkataan
2783,permaenan,permainan
2784,permasalahanya,permasalahannya
2785,pertanyanya,pertanyaannya
2786,pertanyanye,pertanyaannya
2787,pesen,pesan
2788,pesenan,pesanan
2789,pesenanku,pesananku
2790,pg,pagi
2791,pgang,pegang
2792,pgar,pagar
2793,pgen,ingin
2794,pggl,panggil
2795,pgguna,pengguna
2796,pgi,pagi
2797,pgi2,pagi-pagi
2798,pgl,panggil
2799,pgn,ingin
2800,pgnnya,inginnya
2801,pguna,pengguna
2802,phk,pihak
2803,photo,foto
2804,picnic,piknik
2805,picnya,gambarnya
2806,pics,gambar
2807,picture,gambar
2808,pijet,pijat
2809,pijete,pijatnya
2810,pilgub,pemilihan gubernur
2811,pingin,ingin
2812,pinjem,pinjam
2813,pinjeman,pinjaman
2814,pinjemin,pinjamkan
2815,pinten,berapa
2816,pinter,pintar
2817,piro,berapa
2818,pis,damai
2819,pisan,sekali
2820,piscok,pisang cokelat
2821,piye,bagaimana
2822,pk,pakai
2823,pkai,pakai
2824,pke,pakai
2825,pkek,pakai
2826,pkeknyo,pakainya
2827,pkerjaan,pekerjaan
2828,pkerjan,pekerjaan
2829,pket,paket
2830,pkok,pokok
2831,pkoke,pokoknya
2832,pkoknya,pokoknya
2833,pkt,paket
2834,place,tempat
2835,please,*memohon
2836,plen,teman
2837,plend,teman
2838,plg,pulang
2839,plh,pilih
2840,plih,pilih
2841,plihan,pilihan
2842,plihanmu,pilihanmu
2843,plihannya,pilihannya
2844,plihanya,pilihannya
2845,plis,*memohon
2846,pljar,pelajar
2847,plng,pulang
2848,plnggan,pelanggan
2849,pls,pulsa
2850,plsa,pulsa
2851,pmain,pemain
2852,pmbelian,pembelian
2853,pmbngn,pembangunan
2854,pmbngnn,pembangunan
2855,pmbyran,pembayaran
2856,pmenang,pemenang
2857,pmeran,pameran
2858,pnasx,panasnya
2859,pndah,pindah
2860,pndahkn,pindahkan
2861,pndai,pandai
2862,pndeta,pendeta
2863,pndh,pindah
2864,pndhkan,pindahkan
2865,pndk,pendek
2866,pndngn,pandangan
2867,pndok,pondok
2868,pnempatan,penempatan
2869,png,ingin
2870,pngaduan,pengaduan
2871,pngamatan,pengamatan
2872,pngandaran,pangandaran
2873,pngantin,pengantin
2874,pngawas,pengawas
2875,pngecekan,pengecekan
2876,pngeckn,pengecekan
2877,pngemar,penggemar
2878,pngemudi,pengemudi
2879,pngen,ingin
2880,pnggemar,penggemar
2881,pnggil,panggil
2882,pnggila,panggilan
2883,pnggiln,panggilan
2884,pnggiran,pinggiran
2885,pnggl,panggil
2886,pngguna,pengguna
2887,pngil,panggil
2888,pngila,panggilan
2889,pngiln,penggilan
2890,pngiran,pinggiran
2891,pngkal,pangkal
2892,pngkatan,pangkatan
2893,pngl,panggil
2894,pngn,ingin
2895,pngnnya,inginnya
2896,pngnya,inginnya
2897,pngthan,pengetahuan
2898,pnguna,pengguna
2899,pngunjungna,pengunjungnya
2900,pngusaha,pengusaha
2901,pnh,pernah
2902,pnjam,pinjam
2903,pnjang,panjang
2904,pnjem,pinjam
2905,pnngkatan,peningkatan
2906,pnter,pintar
2907,pntes,pantas
2908,pntg,penting
2909,pnting,penting
2910,pntng,penting
2911,pntu,pintu
2912,pnuh,penuh
2913,pnumpang,penumpang
2914,pnungang,penunggang
2915,pny,punya
2916,pnya,punya
2917,pokoke,pokoknya
2918,pokokmen,pokoknya
2919,pokokna,pokoknya
2920,pokokny,pokoknya
2921,pokoknyah,pokoknya
2922,pokoknye,pokoknya
2923,ponakan2,ponakan-ponakan
2924,posisix,posisinya
2925,position,posisi
2926,positip,positif
2927,positive,positif
2928,poto,foto
2929,poto2,foto-foto
2930,potone,fotonya
2931,potonga,potongan
2932,potongane,potongannya
2933,potonganya,potongannya
2934,potongny,potongannya
2935,prancis,perancis
2936,prasaan,perasaan
2937,prasamu,perasaanmu
2938,prasan,perasaan
2939,prbaikn,perbaikan
2940,prbndinganya,perbandingannya
2941,prbyar,prabayar
2942,prcaya,percaya
2943,prcya,percaya
2944,prduk,produk
2945,prepare,persiapan
2946,present,hadir
2947,prformance,pertunjukan
2948,prg,pergi
2949,prgi,pergi
2950,prginy,perginya
2951,prginya,perginya
2952,prhatian,perhatian
2953,prhatin,perhatikan
2954,prhtungan,perhitungan
2955,price,harga
2956,prlu,perlu
2957,prmintaan,permintaan
2958,prmslhkan,permasalahkan
2959,prmukaan,permukaan
2960,prmukan,permukaan
2961,prnah,pernah
2962,prngkt,perangkat
2963,prnh,pernah
2964,produck,produk
2965,product,produk
2966,promise,berjanji
2967,prtm,pertama
2968,prtma,pertama
2969,prtunjukan,pertunjukan
2970,prumahan,perumahan
2971,prusahaan,perusahaan
2972,prusahan,perusahaan
2973,prushaan,perusahaan
2974,prushan,perusahaan
2975,prustasi,frustasi
2976,prwakilan,perwakilan
2977,ps.mingu,pasar minggu
2978,ps.rebo,pasar rebo
2979,psang,pasang
2980,psangin,pasangkan
2981,psngan,pasangan
2982,psat,pusat
2983,psawat,pesawat
2984,pscabyar,pascabayar
2985,psi,pssi
2986,pst,pasti
2987,psti,pasti
2988,pstikan,pastikan
2989,pstikn,pastikan
2990,pstkn,pastikan
2991,psukan,pasukan
2992,pswt,pesawat
2993,ptgs,petugas
2994,pth,putih
2995,ptih,putih
2996,ptngn,potongan
2997,ptong,potong
2998,ptongn,potongan
2999,puanas,panas
3000,public,publik
3001,pulg,pulang
3002,pulkam,pulang kampung
3003,pulng,pulang
3004,punten,maaf
3005,punx,punya
3006,puny,punya
3007,pupuler,popular
3008,pura2,pura-pura
3009,puteri,putri
3010,puth,putih
3011,putrie,putri
3012,putry,putri
3013,py,bagaimana
3014,pye,bagaimana
3015,q,saya
3016,qlw,kalau
3017,qm,kamu
3018,qt,kita
3019,qta,kita
3020,qu,saya
3021,quality,kualitas
3022,quiz,kuis
3023,raiso,tidak bisa
3024,rame,ramai
3025,rame2,ramai-ramai
3026,rasax,rasanya
3027,realitinya,realitanya
3028,receptionist,resepsionis
3029,regi,harga
3030,relation,relasi
3031,relationship,hubungan
3032,relax,santai
3033,reliability,tahan uji
3034,remember,ingat
3035,remembers,mengingatkan
3036,remembr,ingat
3037,repair,perbaiki
3038,repeat,ulangi
3039,replacement,penggantian
3040,replay,pengulangan
3041,report,laporan
3042,reports,laporan
3043,resources,sumberdaya
3044,respect,rasa hormat
3045,revelusion,revolusi
3046,reverse,kebalikan
3047,review,tinjau
3048,reward,hadiah
3049,rgunan,ragunan
3050,rmah,rumah
3051,rmai,ramai
3052,rmbut,rambut
3053,rmh,rumah
3054,rncana,rencana
3055,rncn,rencana
3056,rncna,rencana
3057,row,baris
3058,rsa,rasa
3059,rsak,rusak
3060,rsany,rasanya
3061,rsanya,rasanya
3062,sabaraha,berapa
3063,sabarahaeun,berapa
3064,saeutik,sedikit
3065,safetybelt,sabuk pengaman
3066,saia,saya
3067,saiki,sekarang
3068,sajah,saja
3069,sakalian,sekalian
3070,sam2,sama-sama
3071,sama2,sama-sama
3072,sampe,sampai
3073,sampein,sampaikan
3074,samperin,datangi
3075,samrinda,samarinda
3076,sangad,sangat
3077,sanget,sangat
3078,sangune,uang sakuku
3079,sangup,sanggup
3080,sante2,santai-santai
3081,sapa,siapa
3082,sapah,siapa
3083,sape,siapa
3084,sarano,sarannya
3085,saranya,sarannya
3086,sarap,saraf
3087,sare,tidur
3088,sarebuan,seribuan
3089,sareng,bareng
3090,sat,saat
3091,satuany,satuannya
3092,satuju,setuju
3093,saudra,saudara
3094,sbaliknya,sebaliknya
3095,sbar,sabar
3096,sbb,sebagai berikut
3097,sbel,sebel
3098,sbelah,sebelah
3099,sbelom,sebelum
3100,sbelum,sebelum
3101,sbelumnya,sebelumnya
3102,sbenarnya,sebenarnya
3103,sbenernya,sebenarnya
3104,sberapo,seberapa
3105,sbg,sebagai
3106,sbgai,sebagai
3107,sbgi,sebagai
3108,sbginya,sebagainya
3109,sbk,sibuk
3110,sblah,sebelah
3111,sblh,sebelah
3112,sblm,sebelum
3113,sblmnya,sebelumnya
3114,sblom,sebelum
3115,sblum,sebelum
3116,sbner,sebenarnya
3117,sbnernya,sebenarnya
3118,sbnrnya,sebenarnya
3119,sbnrnye,sebenarnya
3120,sbntar,sebentar
3121,sbnyk,sebanyak
3122,sbongkah,sebingkah
3123,sbr,sabar
3124,sbraha,berapa
3125,sbrnya,sebenarnya
3126,sbrp,seberapa
3127,sbtr,sebentar
3128,sbtu,sabtu
3129,sbuah,sebuah
3130,sbuk,sibuk
3131,sbut,sebut
3132,sbutin,sebutkan
3133,scandal,skandal
3134,scepatnya,secepatnya
3135,sceptnya,secepatnya
3136,sch,sekolah
3137,schol,sekolah
3138,scholarship,beasiswa
3139,scptny,secepatnya
3140,scptnya,secepatnya
3141,scr,secara
3142,scra,secara
3143,sdah,sudah
3144,sdap,sedap
3145,sdekah,sedekah
3146,sdg,sedang
3147,sdh,sudah
3148,sdih,sedih
3149,sdikit,sedikit
3150,sdkh,sedekah
3151,sdkit,sedikit
3152,sdkt,sedikit
3153,sdng,sedang
3154,sdngkan,sedangkan
3155,sdotan,sedotan
3156,sdra2,saudara-saudara
3157,sebenrnya,sebenarnya
3158,seberapo,seberapa
3159,seblm,sebelum
3160,seblum,sebelum
3161,seblumnya,sebelumnya
3162,sebnarnye,sebenarnya
3163,sebntr,sebentar
3164,sebrang,seberang
3165,sebrangnya,seberangnya
3166,secepetnya,secepatnya
3167,secret,rahasia
3168,security,keamanan
3169,sedaya,semua
3170,sekate,sekata
3171,sekate-kate,sekata-kata
3172,seken,bekas
3173,seklian,sekalian
3174,sekola,sekolah
3175,selese,selesai
3176,seling,selling
3177,seller,penjual
3178,selow,santai
3179,semarfren,smartfren
3180,semlm,semalam
3181,semngat,semangat
3182,sempeet,sempat
3183,send,terkirim
3184,senen,senin
3185,seneng,senang
3186,sepda,sepeda
3187,sepert,seperti
3188,sept,september
3189,service,servis
3190,sgala,segala
3191,sgar,segar
3192,sgera,segera
3193,sgini,segini
3194,sgitu,segitu
3195,sgni,segini
3196,sgt,sangat
3197,shg,sehingga
3198,sht,sehat
3199,siapin,siapkan
3200,signal,sinyal
3201,signalnya,sinyalnya
3202,siji,satu
3203,silahakan,silahkan
3204,silhkan,silahkan
3205,simpen,simpan
3206,simpenan,simpanan
3207,simple,simpel
3208,sitik,sedikit
3209,sj,saja
3210,sja,saja
3211,sjti,sejati
3212,skali,sekali
3213,skali2,sekali-kali
3214,skalian,sekalian
3215,skaligus,sekaligus
3216,skalinya,sekalinya
3217,skarang,sekarang
3218,skg ,sekarang
3219,skit,sakit
3220,skitar,sekitar
3221,skitaran,sekitaran
3222,sklh,sekolah
3223,skola,sekolah
3224,skolah,sekolah
3225,skrg,sekarang
3226,skrng,sekarang
3227,slahkn,silahkan
3228,slain,selain
3229,slalu,selalu
3230,slama,selama
3231,slamat,selamat
3232,slangkah,selangkah
3233,slanjut,selanjut
3234,slanjutnya,selanjutnya
3235,slesai,selesai
3236,slgkuh,selingkuh
3237,slh,salah
3238,slhkan,silahkan
3239,slhkn,silahkan
3240,slmat,selamat
3241,slmt,selamat
3242,slow,santai
3243,slrh,seluruh
3244,slruh,seluruh
3245,slsai,selesai
3246,slse,selesai
3247,slu,selalu
3248,sm,sama
3249,smbg,sombong
3250,smbhyg,sembahyang
3251,smbil,sambil
3252,smbl,sambil
3253,smbong,sombong
3254,smbuh,sembuh
3255,smbung,sambung
3256,smcam,semacam
3257,smcm,semacam
3258,smg,semoga
3259,smga,semoga
3260,smgat,semangat
3261,smgt,semangat
3262,smingu,seminggu
3263,smlem,semalam
3264,smlm,semalam
3265,smoga,semoga
3266,smpah,sumpah
3267,smpai,sampai
3268,smpaikn,sampaikan
3269,smpati,simpati
3270,smpe,sampai
3271,smph,sumpah
3272,smpi,sampai
3273,smpingan,sampingan
3274,smpurna,sempurna
3275,smtr,semester
3276,smua,semua
3277,smw,semua
3278,smwa,semua
3279,sna,sana
3280,sndiri,sendiri
3281,sndirian,sendirian
3282,sndr,sendiri
3283,snen,senin
3284,sneng,senang
3285,sng,senang
3286,sngaja,sengaja
3287,sngat,sangat
3288,sngj,sengaja
3289,sngt,sangat
3290,snguh,sungguh
3291,snilai,senilai
3292,so,jadi
3293,sodara,saudara
3294,sodaraan,bersaudara
3295,sodaramu,saudaramu
3296,sodaran,bersaudara
3297,sodarany,saudaranya
3298,solat,salat
3299,sory,maaf
3300,spnjag,sepanjang
3301,sprt,seperti
3302,sprti,seperti
3303,sprtinya,sepertinya
3304,spt,seperti
3305,spti,seperti
3306,sptny,sepertinya
3307,sptnya,sepertinya
3308,spu2,sepupu
3309,spupu,sepupu
3310,sputar,seputar
3311,spy,supaya
3312,spya,supaya
3313,srapan,sarapan
3314,sratus,seratus
3315,srg,sering
3316,sribu,seribu
3317,sring,sering
3318,srius,serius
3319,sruh,suruh
3320,srvcnya,servisnya
3321,srvice,servis
3322,standard,standar
3323,statement,kalimat
3324,stdy,studi
3325,stengah,setengah
3326,stgah,setengah
3327,stgh,setengah
3328,stia,setia
3329,stiap,setiap
3330,sticker,stiker
3331,still,masih
3332,stingi,setinggi
3333,stlah,setelah
3334,stlh,setelah
3335,stngah,setengah
3336,stngh,setengah
3337,stock,persediaan
3338,stuju,setuju
3339,stupid,bodoh
3340,subjec,subjek
3341,subject,subjek
3342,sulsel,sulawesi selatan
3343,sumpeh,sumpah
3344,sumph,sumpah
3345,sunguh,sungguh
3346,sunguh-sunguh,sungguh-sungguh
3347,sunguh2,sungguh-sungguh
3348,sunguhan,sungguhan
3349,swt,subhanahu wata'ala
3350,sy,saya
3351,sya,saya
3352,syg,sayang
3353,syp,siapa
3354,sypa,siapa
3355,syudah,sudah
3356,syukr,terimakasih
3357,syukron,terimakasih
3358,tahzan,bersedih
3359,tajir,kaya
3360,tak,tidak
3361,takada,tidak ada
3362,takan,tidak akan
3363,takboleh,tidak boleh
3364,takda,tidak ada
3365,takdapat,tidak dapat
3366,takde,tidak ada
3367,takdo,tidak ada
3368,takeabath,mandi
3369,takjugak,tidak juga
3370,takkan,tidak akan
3371,takleh,tidak boleh
3372,taklukan,taklukkan
3373,takmau,tidak mau
3374,takmintak,saya minta
3375,taknak,tidak enak
3376,taknampak,tidak nampak
3377,takok,tanya
3378,takon,tanya
3379,takpa,tidak apa-apa
